Order,Category,Subcategory,Style,Brand,Product,Rating,IB,Release,ABV,Age,Interpolated Date,Chang,Canal's Mt. Ephraim,Cask Strength Society,FWGS,Kreston,Mawl's & Seelbach's,PWS,Redstone,Roger Wilco Pennsauken,SJBD 1,SJBD 2,Somerville Super Saver,?,Distillery 1,Distillery 2,Distillery 3,Distillery 4,Distillery 5,Distillery 6,Distillery 7,Distillery 8,Distillery 9
77,Bourbon,,,Maker's Mark,46,4.5,,,,,6/18/2017,,,,,,,,,,,,,,,,,,,,,,
78,Scotch,Highland,Sherry,Glenmorangie,Duthac,,,,,,6/30/2017,,,,,,,,,,,,,,,,,,,,,,
79,Bourbon,New York,,Hudson,Baby,1.5,,,,,6/30/2017,,,,,,,,,,,,,,,,,,,,,,
80,Scotch,Island,Light Smoke,Highland Park,15,4,,,,15,6/30/2017,,,,,,,,,,,,,,,,,,,,,,
81,Scotch,Island,Light Smoke,Highland Park,25,5,,,,25,6/30/2017,,,,,,,,,,,,,,,,,,,,,,
82,Scotch,Island,Light Smoke,Highland Park,30,5,,,,30,6/30/2017,,,,,,,,,,,,,,,,,,,,,,
83,American,Blended,Bourye/Smoke,High West,Campfire,3,,,,,7/17/2017,,,,,,,,,,,,,,,,,,,,,,
84,Bourbon,,Budget,Elijah Craig,Small Batch,3,,,,,8/24/2017,,,,,,,,,3,,,,,3.5,3,,,,,,,
85,Bourbon,,High Rye,Four Roses,Single Barrel,3.5,,,,,8/24/2017,,,,4.5,,,,,,3,4,,,,,,,,,,,
86,Bourbon,,,1792,Ridgemont Reserve,,,,,,8/24/2017,,,,,,,,,,,,,,,,,,,,,,
87,Irish,Single Grain,,Greenore,8,,,,,8,8/24/2017,,,,,,,,,,,,,,,,,,,,,,
88,Canadian,,,Pike Creek,,,,,,7,8/24/2017,,,,,,,,,,,,,,,,,,,,,,
89,Flavored,Canadian,Vanilla,Crown Royal,Vanilla,3,,,,,8/24/2017,,,,,,,,,,,,,,,,,,,,,,
90,American,Blended,Budget,Tin Cup,,2.5,,,,,8/27/2017,,,,,,,,,,,,,,,,,,,,,,
91,Bourbon,,,Woodford Reserve,Double Oaked,4,,,,,8/27/2017,,,,,,,,,,,,,,,,,,,,,,
92,Japanese,Single Malt,,Yamazaki,12,2.5,,,,12,10/15/2017,,,,,,,,,,,,,,,,,,,,,,
93,Scotch,Speyside,,Cragganmore,12,,,,,12,10/15/2017,,,,,,,,,,,,,,,,,,,,,,
94,Irish,Single Pot Still,,Green Spot,,2.5,,,,12,10/15/2017,,,,,,,,,,,,,,,,,,,,,,
95,Irish,Blended,,Tullamore Dew,,2,,,,,10/16/2017,,,,,,,,,,,,,,,,,,,,,,
96,Japanese,Blended,,Suntory,Royal 15,3,,,,15,10/16/2017,,,,,,,,,,,,,,,,,,,,,,
97,Irish,Single Malt,,Knappogue Castle,12,2,,,,12,10/16/2017,,,,,,,,,,,,,,,,,,,,,,
98,Bourbon,Utah,,High West,American Prairie,3.5,,,,,11/8/2017,,,,,,,,,,,,,,,,,,,,,,
99,Japanese,Blended,,Suntory,Toki,3,,,,,11/20/2017,,,,,,,,,,,,,,,,,,,,,,
100,American,Used Barrels,,Michter's,American,5,,,,,1/10/2018,,,,,,,,,,,,,,,,,,,,,,
101,Japanese,Single Malt,Smoke,Hakushu,12,3.5,,,,12,1/10/2018,,,,,,,,,,,,,,,,,,,,,,
102,Scotch,Islay,Smoke,Ardbeg,Corryvreckan,4.5,,,,,1/10/2018,,,,,,,,,,,,,,,,,,,,,,
103,Bourbon,,,Booker's,,5,,,,6,1/10/2018,,,,,,,,,,,,,,,,,,,,,,
104,Japanese,Grain,,Nikka,Coffey Grain,3.5,,,,,1/11/2018,,,,,,,,,,,,,,,,,,,,,,
105,Rye,Pennsylvania,,Eight Oaks,Penna Rye,3,,,,,1/13/2018,,,,,,,,,,,,,,,,,,,,,,
106,Scotch,Lowland,,Auchentoshan,Three Wood,3.5,,,,,1/13/2018,,,,,,,,,,,,,,,,,,,,,,
107,Scotch,Blended Malt,Fruit,Monkey Shoulder,,2.5,,,,,1/13/2018,,,,,,,,,,,,,,,,,,,,,,
108,Scotch,Blended Malt,Medium Smoke,Johnnie Walker,Green Label,3.5,,,,15,1/13/2018,,,,,,,,,,,,,,,,,,,,,,
109,Scotch,Speyside,Light Smoke/Sherry,Benromach,10,4.5,,,,10,1/15/2018,,,,,,,,,,,,,,,,,,,,,,
110,Bourbon,Pennsylvania,,Social Still,Freakshow,3,,,,,1/22/2018,,,,,,,,,,,,,,,,,,,,,,
111,Bourbon,Pennsylvania,Creative,Social Still,Barista Bourbon,4,,,,,1/22/2018,,,,,,,,,,,,,,,,,,,,,,
112,Scotch,Island,Light Smoke,Highland Park,Magnus,2.5,,,,,2/12/2018,,,,,,,,,,,,,,,,,,,,,,
113,Scotch,Speyside,Fruit,Glenfiddich,Select Cask,,,,,,3/11/2018,,,,,,,,,,,,,,,,,,,,,,
114,Scotch,Speyside,Fruit,Glenlivet,Founder's Reserve,,,,,,3/11/2018,,,,,,,,,,,,,,,,,,,,,,
115,Rye,Pennsylvania,,Rittenhouse,Bottled in Bond,4,,,,4,3/12/2018,,,,,,,,,,,,,,,,,,,,,,
116,Scotch,Speyside,Rum,Balvenie,14 Caribbean Cask,4,,,,14,3/24/2018,,,,,,,,,,,,,,,,,,,,,,
117,Bourbon,,,Michter's,,4,,,,,3/26/2018,,,,,,,,,,,,,,,,,,,,,,
118,Bourbon,,,Knob Creek,Single Barrel Reserve 9,4.5,,,,9,4/2/2018,,,,,,,,,,4,,,,,,,,,,,,
119,Scotch,Island,Light Smoke,Highland Park,Valkyrie,2.5,,,,,4/2/2018,,,,,,,,,,,,,,,,,,,,,,
120,Bourbon,Pennsylvania,,Eight Oaks,Bourbon,3,,,,,4/6/2018,,,,,,,,,,,,,,,,,,,,,,
121,Rye,Utah,Wine,High West,Yippee Ki-yay,3.5,,,,4,4/20/2018,,,,,,,,,,,,,,,,,,,,,,
122,Scotch,Islay,Smoke,Laphroaig,Lore,4,,,,,5/15/2018,,,,,,,,,,,,,,,,,,,,,,
123,Scotch,Islay,Smoke/Sherry,Ardbeg,Dark Cove,5,,,,,5/15/2018,,,,,,,,,,,,,,,,,,,,,,
124,Bourbon,Maryland,,Seacrets,,3,,,,,5/17/2018,,,,,,,,,,,,,,,,,,,,,,
125,Bourbon,,Budget,Jim Beam,Double Oaked,3.5,,,,,5/23/2018,,,,,,,,,,,,,,,,,,,,,,
126,Scotch,Blended Scotch,,Black Box,,2.5,,,,,6/4/2018,,,,,,,,,,,,,,,,,,,,,,
127,Bourbon,,Wheat,Rebel Yell,,1.5,,,,,6/7/2018,,,,,,,,,,,,,,,,,,,,,,
128,Bourbon,,Budget,Heaven Hill,,3,,,,,6/23/2018,,,,,,,,,,,,,,,,,,,,,,
129,Scotch,Islay,Smoke,Bowmore,12,2.5,,,,12,6/23/2018,,,,,,,,,,,,,,,,,,,,,,
130,Scotch,Islay,Smoke/Sherry,Laphroaig,Triple Wood,3.5,,,,,6/23/2018,,,,,,,,,,,,,,,,,,,,,,
